Temple,Latitude,Longitude,LatitudeDegrees,LongitudeDegress,Address,City,State,Postal Code,Country,Phone,https://churchofjesuschristtemples.org/maps/downloads/
Ogden Utah Temple,41.227786,-111.971506,"41°13'40""N","111°58'17""W",350 22nd Street,Ogden,Utah,84401-1487,United States,(+1) 801-621-6880,
Oklahoma City Oklahoma Temple,35.591846,-97.7267,"35°35'30""N","97°43'36""W",12030 North Mustang Road,Yukon,Oklahoma,73099,United States,(+1) 405-373-2309,
Oquirrh Mountain Utah Temple,40.551145,-111.98751,"40°33'4""N","111°59'15""W",11022 South 4000 West,South Jordan,Utah,84095-5797,United States,(+1) 801-878-3800,
Orem Utah Temple,40.270755,-111.720916,"40°16'14""N","111°43'15""W",1471 South Geneva Road (approximate),Orem,Utah,,United States,,
Orlando Florida Temple,28.507348,-81.509578,"28°30'26""N","81°30'34""W",9000 Windy Ridge Road,Windermere,Florida,34786-8347,United States,(+1) 407-876-0022,
Palmyra New York Temple,43.039148,-77.237063,"43°2'20""N","77°14'13""W",2720 Temple Road,Palmyra,New York,14522,United States,(+1) 315-597-6001,
Payson Utah Temple,40.019258,-111.749175,"40°1'9""N","111°44'57""W",1494 South 930 West,Payson,Utah,,United States,(+1) 801-754-4949,
Philadelphia Pennsylvania Temple,39.959174,-75.168072,"39°57'33""N","75°10'5""W",1739 Vine Street,Philadelphia,Pennsylvania,19103,United States,(+1) 215-398-3040,
Phoenix Arizona Temple,33.698555,-112.172329,"33°41'54""N","112°10'20""W",5220 West Pinnacle Peak Road,Phoenix,Arizona,85310,United States,(+1) 623-474-9500,
Pittsburgh Pennsylvania Temple,40.69404827,-80.140918,"40°41'38""N","80°8'27""W",2093 Powell Road,Cranberry Township,Pennsylvania,16066,United States,,
Pocatello Idaho Temple,42.915259,-112.406374,"42°54'54""N","112°24'22""W",3100 Butte Street,Pocatello,Idaho,83201,United States,,
Portland Oregon Temple,45.425345,-122.742224,"45°25'31""N","122°44'32""W",13600 SW Kruse Oaks Boulevard,Lake Oswego,Oregon,97035-8602,United States,(+1) 503-639-7066,
Provo City Center Temple,40.232667,-111.659299,"40°13'57""N","111°39'33""W",50 South University Avenue,Provo,Utah,84601,United States,(+1) 801-343-2700,
Provo Utah Temple,40.263666,-111.639779,"40°15'49""N","111°38'23""W",2200 Temple Hill Drive,Provo,Utah,84604-1766,United States,(+1) 801-375-5775,
Raleigh North Carolina Temple,35.732111,-78.861542,"35°43'55""N","78°51'41""W",574 Bryan Drive,Apex,North Carolina,27502,United States,(+1) 919-362-4135,
Red Cliffs Utah Temple,37.082184,-113.519741,"37°4'55""N","113°31'11""W",Northeast of 3000 E and 1580 S,St. George,Utah,,United States,,
Redlands California Temple,34.049037,-117.140579,"34°2'56""N","117°8'26""W",1761 5th Avenue,Redlands,California,92374,United States,(+1) 909-389-7369,
Reno Nevada Temple,39.534611,-119.898913,"39°32'4""N","119°53'56""W",2000 Beaumont Parkway,Reno,Nevada,89523,United States,(+1) 775-747-6688,
Rexburg Idaho Temple,43.810922,-111.778979,"43°48'39""N","111°46'44""W",750 South 2nd East,Rexburg,Idaho,83440-5404,United States,(+1) 208-656-0880,
Richmond Virginia Temple,37.672884,-77.535372,"37°40'22""N","77°32'7""W",10915 Staples Mill Rd,Glen Allen,Virginia,,United States,,
Sacramento California Temple,38.635116,-121.193925,"38°38'6""N","121°11'38""W",2110 California Circle,Rancho Cordova,California,95742,United States,(+1) 916-357-5870,
Salt Lake Temple,40.770468,-111.891958,"40°46'13""N","111°53'31""W",50 West North Temple Street,Salt Lake City,Utah,84150-0701,United States,(+1) 801-240-2640,
San Antonio Texas Temple,29.641481,-98.488789,"29°38'29""N","98°29'19""W",20080 Stone Oak Parkway,San Antonio,Texas,78258-6920,United States,(+1) 210-538-0034,
San Diego California Temple,32.866389,-117.228769,"32°51'59""N","117°13'43""W",7474 Charmant Drive,San Diego,California,92122-5000,United States,(+1) 858-622-0991,
Saratoga Springs Utah Temple,40.343707,-111.933257,"40°20'37""N","111°55'59""W", 987 South Ensign Drive,Saratoga Springs,Utah,,United States,,
Seattle Washington Temple,47.58407,-122.140876,"47°35'2""N","122°8'27""W",2808 148th Avenue SE,Bellevue,Washington,98007-6453,United States,(+1) 425-643-5144,
Snowflake Arizona Temple,34.502494,-110.111607,"34°30'8""N","110°6'41""W",1875 West Canyon Drive,Snowflake,Arizona,85937,United States,(+1) 928-536-6626,
Spokane Washington Temple,47.620163,-117.22069,"47°37'12""N","117°13'14""W",13710 East 40th Avenue,Spokane,Washington,99206,United States,(+1) 509-926-2824,
St. George Utah Temple,37.100535,-113.578041,"37°6'1""N","113°34'40""W",250 East 400 South,St. George,Utah,84770-3699,United States,(+1) 435-673-3533,
St. Louis Missouri Temple,38.639651,-90.464685,"38°38'22""N","90°27'52""W",12555 North Outer Forty Drive,St. Louis,Missouri,63141-8620,United States,(+1) 314-514-1122,
St. Paul Minnesota Temple,44.980261,-92.965199,"44°58'48""N","92°57'54""W",2150 Hadley Avenue North,Oakdale,Minnesota,55128-4505,United States,(+1) 651-748-5910,
Star Valley Wyoming Temple,42.712073,-110.932532,"42°42'43""N","110°55'57""W",885 South Washington Street,Afton,Wyoming,,United States,(+1) 307-886-6820,
Syracuse Utah Temple,41.099938,-112.076542,"41°5'59""N","112°4'35""W",2500 West and 1025 South,Syracuse,Utah,,United States,,
Tallahassee Florida Temple,30.520117,-84.238222,"30°31'12""N","84°14'17""W",2440 Papillon Way,Tallahassee,Florida,,United States,,
Taylorsville Utah Temple,40.66671159,-111.95411,"40°40'0""N","111°57'14""W",2603 West 4700 South,Taylorsville,Utah,,United States,,
The Gila Valley Arizona Temple,32.862971,-109.789974,"32°51'46""N","109°47'23""W",5291 West Highway 70,Central,Arizona,85531,United States,(+1) 928-428-7243,
Tucson Arizona Temple,32.338454,-110.949174,"32°20'18""N","110°56'57""W",7281 N Skyline Dr,Tucson,Arizona,85718,United States,(+1) 520-395-3900,
Twin Falls Idaho Temple,42.586827,-114.441509,"42°35'12""N","114°26'29""W",1405 Eastland Drive North,Twin Falls,Idaho,83301,United States,(+1) 208-736-7070,
Vernal Utah Temple,40.453205,-109.537413,"40°27'11""N","109°32'14""W",170 South 400 West,Vernal,Utah,84078-2536,United States,(+1) 435-789-3220,
Washington D.C. Temple,39.014079,-77.065624,"39°0'50""N","77°3'56""W",9900 Stoneybrook Drive,Kensington,Maryland,20895-3199,United States,(+1) 301-588-0650,
Winter Quarters Nebraska Temple,41.334075,-95.96619,"41°20'2""N","95°57'58""W",8283 North 34th Street,Omaha,Nebraska,68112-2114,United States,(+1) 402-453-3406,
